Jaar_laden;POSTCODE_LADEN;AANTAL_LAADLOCATIES; Totaal_KG_VRACHT ;Naam stal;Straat + huisnummer;Plaats;KVK nummer;tel nummer ;;;;
2024;2691KE;1;420.900;;;;;;;;;
2024;2691NE;1;186.000;;;;;;;;;
2024;2716NH;1;789.600;;;;;;;;;
2024;2716NK;1;229.000;;;;;;;;;
2024;2716RB;1;586.000;;;;;;;;;
2024;2717PA;1;323.300;;;;;;;;;
2024;2719JW;1;559.000;;;;;;;;;
2024;2719RB;1;246.000;Stal Dijkshoorn;Vierde Stationsstraat 450;Zoetermeer;60344008;06 24603921;;;;
2024;2728PD;1;231.000;;;;;;;;;
2024;2741GB;1;226.000;;;;;;;;;
2024;2742AG;1;45.800;;;;;;;;;
2024;2742JA;1;1.319.000;;;;;;;;;
2024;2742KC;1;764.340;Stal Hoogendoorn Bv;Plasweg 24 A;Waddinxveen;62268562;;;;;
2024;2742WJ;1;2.244.020;;;;;;;;;
2024;2761DB;1;222.400;;;;;;;;;
2024;2761GD;1;87.700;;;;;;;;;
2024;2761JE;1;57.660;;;;;;;;;
2024;2761JK;1;42.400;;;;;;;;;
2024;2761KA;1;58.600;;;;;;;;;
2024;2771AB;1;299.500;;;;;;;;;
2024;2771RW;1;612.040;Manege Bentwoud Bv;Sportlaan 3;Boskoop;29048759;0172 231 201;;;;
2024;2803HG;1;202.600;;;;;;;;;
2024;2804AA;1;322.640;;;;;;;;;
2024;2805HL;1;737.900;;;;;;;;;
2024;2809NE;2;488.280;;;;;;;;;
2024;2811NS;2;769.600;Van Os Horses;Parallelweg 8;Reeuwijk;68483759;06 48403123;;;;
2024;2821LB;1;225.000;;;;;;;;;
2024;2821XZ;1;231.100;John Reijm;Bovenkerkseweg 112;Stolwijk;24476273;0182 341 436;;;;
2024;2825AH;1;40.450;;;;;;;;;
2024;2831KA;1;1.058.840;;;;;;;;;
2024;2841BT;1;400.500;;;;;;;;;
2024;2841LD;1;775.200;;;;;;;;;
2024;2841LL;1;128.900;;;;;;;;;
2024;2841LM;1;278.000;;;;;;;;;
2024;2841LR;1;348.320;;;;;;;;;
2024;2841LS;1;54.400;;;;;;;;;
2024;2851AK;1;24.000;;;;;;;;;
2024;2851EJ;1;504.300;;;;;;;;;
2024;2851EK;1;197.000;;;;;;;;;
2024;2851LB;1;47.560;;;;;;;;;
2024;2861BC;2;259.200;;;;;;;;;
2024;2861ET;1;56.100;;;;;;;;;
2024;2861GC;1;50.400;;;;;;;;;
2024;2861LJ;1;24.900;;;;;;;;;
2024;2861LM;1;303.300;;;;;;;;;
2024;2871AW;1;970.000;;;;;;;;;
2024;2907LE;1;2.424.700;;;;;;;;;
2024;2909LK;1;16.000;;;;;;;;;
2024;2910;1;561.400;;;;;;;;;
2024;2911BB;1;73.000;;;;;;;;;
2024;2911BE;1;715.700;;;;;;;;;
2024;2911LB;1;1.032.200;;;;;;;;;
2024;2911LZ;1;208.560;;;;;;;;;
2024;2912EE;1;2.352.000;;;;;;;;;
2024;2920;1;1.834.260;;;;;;;;;
2024;2921AS;1;593.900;;;;;;;;;
2024;2931XD;1;136.400;;;;;;;;;
2024;2935BG;1;19.175;;;;;;;;;
2024;2941AR;1;8.000;;;;;;;;;
2024;2941LD;1;1.608.100;;;;;;;;;
2024;2950;1;185.750;;;;;;;;;
2024;2952AV;1;350.300;;;;;;;;;
2024;2954LD;1;382.700;Stoeterij Kortland;Kortland 42 c;Alblasserdam;77036913;06 24894527;;;;
2024;2960;1;3.900.920;;;;;;;;;
2024;2964LA;1;249.000;;;;;;;;;
2024;2967GE;1;423.000;Dressuurhof;Lekdijk 110;Langerak;24403772;0184 600 687;;;;
2024;2969LC;1;373.800;;;;;;;;;
2024;2970;1;583.800;;;;;;;;;
2024;2971AB;1;357.300;;;;;;;;;
2024;2971VH;1;18.955;;;;;;;;;
2024;2971XB;1;95.000;;;;;;;;;
2024;2980;1;423.200;;;;;;;;;
2024;2982CM;1;69.800;Grevenbroek Sporthorses Bv;Kastanjelaan 26 b;Ridderkerk;24170335;;;;;
2024;2982TN;1;640.000;;;;;;;;;
2024;2983GA;1;298.000;Stoeterij De Woude Bv;Benedenrijweg 69 a;Ridderkerk;24297363;0180 487 170;;;;
2024;2986AA;1;96.000;;;;;;;;;
2024;2986XA;1;78.500;;;;;;;;;
2024;2988AD;1;242.000;;;;;;;;;
2024;2988CC;1;129.700;;;;;;;;;
2024;2989AL;1;53.000;;;;;;;;;
2024;2990;1;4.868.200;;;;;;;;;
2024;2991LJ;1;530.150;;;;;;;;;
2024;2992XE;1;751.700;;;;;;;;;
2024;2993AT;1;52.800;;;;;;;;;
2024;2995XC;1;211.700;Plaizier Dressage Stables;Develweg 1;Heerjansdam;74728024;06 30401142;;;;
2024;2995XK;2;372.800;Wl Plaizier Sportpaarden Bv;Lindeweg 14 C;Heerjansdam;23063725;06 55250875;;;;
2024;2995XL;1;257.700;;;;;;;;;
2024;3011WD;1;184.200;;;;;;;;;
2024;3041JE;1;1.016.100;;;;;;;;;
2024;3045PX;1;316.220;;;;;;;;;
2024;3046NJ;2;172.600;Lj Ursem Beheer Bv;Hofweg 63;Rotterdam;27313435;010 841 0466;;;;
2024;3046NR;1;411.900;;;;;;;;;
2024;3046NW;1;113.100;;;;;;;;;
2024;3053PM;1;286.100;;;;;;;;;
2024;3056KA;1;8.026.628;;;;;;;;;
2024;3056LM;1;100.860;;;;;;;;;
2024;3062CG;1;1.369.260;;;;;;;;;
2024;3067GA;1;12.400;;;;;;;;;
2024;3075ZJ;1;162.800;;;;;;;;;
2024;3080;1;138.620;;;;;;;;;
2024;3085BW;1;636.900;;;;;;;;;
2024;3088NA;1;211.000;;;;;;;;;
2024;3117ZA;1;15.000;;;;;;;;;
2024;3124KA;2;1.014.100;;;;;;;;;
2024;3124KC;1;399.700;Jg Van Der Vlugt Vof;Joppelaan 4;Schiedam;64359034;010 470 7747;;;;
2024;3124KD;1;739.700;;;;;;;;;
2024;3128;1;26.000;;;;;;;;;
2024;3132KB;1;27.000;Stal Van Santvliet Bv;Zuidbuurt 36;Vlaardingen;64059480;;;;;
2024;3138HA;1;1.643.000;;;;;;;;;
2024;3141EM;1;1.391.600;;;;;;;;;
2024;3141EN;1;471.500;;;;;;;;;
2024;3151XV;1;887.600;;;;;;;;;
2024;3155CC;1;457.000;;;;;;;;;
2024;3161DS;1;86.200;;;;;;;;;
2024;3161EP;1;110.300;High Flown Stud;Nieuweweg 7;Rhoon;24397797;010 501 2346;;;;
2024;3161HM;1;589.800;;;;;;;;;
2024;3161PH;1;42.400;;;;;;;;;
2024;3181LK;1;261.700;;;;;;;;;
2024;3192KA;1;965.100;;;;;;;;;
2024;3195GR;1;217.000;;;;;;;;;
2024;3208KJ;1;145.200;Ems Trading Bv;Curieweg 11 E;Spijkenisse;77263979;;;;;
2024;3208LR;1;1.169.800;;;;;;;;;
2024;3209BC;1;1.186.600;Stoeterij Willemshof;Toldijk 7 A;Hekelingen;53624637;0181 687 236;;;;
2024;3211LA;1;219.800;Ge Timmer;Dankerseweg 10;Geervliet;24206066;0181 663 164;;;;
2024;3212LC;1;210.400;;;;;;;;;
2024;3212LN;1;267.600;;;;;;;;;
2024;3212LT;1;935.000;;;;;;;;;
2024;3214LD;1;132.500;;;;;;;;;
2024;3214VP;1;353.700;;;;;;;;;
2024;3216LB;1;147.900;;;;;;;;;
2024;3218LB;1;217.500;;;;;;;;;
2024;3222EJ;1;343.600;;;;;;;;;
2024;3222ER;1;622.400;;;;;;;;;
2024;3223LA;1;584.100;;;;;;;;;
2024;3223LB;1;14.000;Paulinehoeve;Betjesweg 1;Hellevoetsluis;67535089;06 34705028;;;;
2024;3223LM;1;134.600;;;;;;;;;
2024;3227AG;1;176.700;;;;;;;;;
2024;3227AH;1;143.500;;;;;;;;;
2024;3227CC;1;103.700;;;;;;;;;
2024;32289;1;232.600;;;;;;;;;
2024;3231LG;1;74.200;;;;;;;;;
2024;3232LC;1;127.000;;;;;;;;;
2024;3233LA;2;344.100;Aelbrechtshoeve;Aelbrechtsweg 10;Oostvoorne;65180496;06 54660267;;;;
2024;3234KR;1;1.449.800;;;;;;;;;
2024;3235KA;2;161.900;;;;;;;;;
2024;3235KK;1;73.400;;;;;;;;;
2024;3235KL;1;983.900;;;;;;;;;
2024;3235KP;1;446.500;Stoeterij Koningshoek;Natersedijk 1 a;Rockanje;24325816;06 13847992;;;;
2024;3235LA;1;70.780;;;;;;;;;
2024;3235LP;1;259.800;;;;;;;;;
2024;3235NG;1;59.800;;;;;;;;;
2024;3235NJ;1;30.000;;;;;;;;;
2024;3235NT;1;70.500;;;;;;;;;
2024;3235NW;1;256.600;;;;;;;;;
2024;3235NX;2;399.600;;;;;;;;;
2024;3235XH;2;190.700;;;;;;;;;
2024;3237KL;1;772.200;;;;;;;;;
2024;3237LA;1;216.200;;;;;;;;;
2024;3238LC;1;1.645.300;P De Ronde;Meeldijk 1;Zwartewaal;24198953;0181 665 077;;;;
2024;3238LH;2;298.800;;;;;;;;;
2024;3238LS;1;357.200;;;;;;;;;
2024;3241LL;1;10.200;;;;;;;;;
2024;3243AC;1;639.700;;;;;;;;;
2024;3243LE;1;905.800;;;;;;;;;
2024;3244AN;2;261.900;Bouhuisen Sporthorses;Molendijk 116 a;Nieuwe-Tonge;74942840;06 10931939;;;;
2024;3245LR;1;440.700;Maatschap Van Eck Bestman;Kraaijensteinsedijk 16;Sommelsdijk;24476636;06 29040167;;;;
2024;3245NC;1;136.200;;;;;;;;;
2024;3247LD;1;95.200;Awb Paardenfokkerij Bv;Oost Havendijk 24;Dirksland;52582949;;;;;
2024;3248BR;1;328.600;;;;;;;;;
2024;3253KB;1;885.400;;;;;;;;;
2024;3255LL;1;32.400;Loonbedrijfveebedrijf Tieleman Bv;Noordlandsedijk 1 a;Oude-Tonge;54118913;0187 657053;;;;
2024;3255LM;1;600.900;Anicare Vof;Oostendesedijk 9;Oude-Tonge;64090396;0187 619080;;;;
2024;3255LX;1;40.000;;;;;;;;;
2024;3258LN;1;396.600;;;;;;;;;
2024;3261LG;1;5.000;;;;;;;;;
2024;3262BB;1;119.100;;;;;;;;;
2024;3262BH;1;333.500;Stal Kramer;Zinkweg 272;Oud-Beijerland;23083469;06 46264441;;;;
2024;3263AP;1;940.700;Coomans Holding Bv;Binnenpad 257;Oud-Beijerland;59771674;;;;;
2024;3263RA;1;916.600;;;;;;;;;
2024;3264LT;1;783.800;;;;;;;;;
2024;3271LD;1;208.400;;;;;;;;;
2024;3273AZ;1;283.800;;;;;;;;;
2024;3273LM;2;891.100;;;;;;;;;
2024;3274KD;1;475.500;;;;;;;;;
2024;3274NA;1;189.600;;;;;;;;;
2024;3281KN;1;96.820;;;;;;;;;
2024;3281KV;1;310.400;;;;;;;;;
2024;3281LT;1;120.800;;;;;;;;;
2024;3284KR;1;175.100;Maatschap Van Hilten;Nieuwendijk 8;Zuid-Beijerland;73343455;;;;;
2024;3284LJ;1;505.900;;;;;;;;;
2024;3284LR;1;956.800;;;;;;;;;
2024;3286LC;1;38.100;;;;;;;;;
2024;3291CE;1;233.300;;;;;;;;;
2024;3291LJ;1;511.080;;;;;;;;;
2024;3291LM;1;220.000;Pensionstal Overwater;Oudendijk 11;Strijen;60123362;;;;;
2024;3292LA;1;531.900;;;;;;;;;
2024;3311JG;1;265.600;;;;;;;;;
2024;3317JP;1;642.600;;;;;;;;;
2024;3328AS;1;34.000;;;;;;;;;
2024;3328LE;1;167.520;;;;;;;;;
2024;3329KA;1;251.100;;;;;;;;;
2024;3329KH;1;356.600;;;;;;;;;
2024;3329KM;1;1.200.500;;;;;;;;;
2024;3329KS;1;12.000;Stal De Elzen;Van Elzelingenweg 17;Dordrecht;66107016;;;;;
2024;3329KT;1;791.300;De Randhoeve;Wieldrechtse Zeedijk 4;Dordrecht;75044994;;;;;
2024;3329LA;1;893.300;;;;;;;;;
2024;33334;1;70.900;;;;;;;;;
2024;3334LB;1;148.800;;;;;;;;;
2024;3335LD;1;288.000;Van Gilst;Kijfhoek 35;Zwijndrecht;24453946;;;;;
2024;3335LJ;2;1.670.600;;;;;;;;;
2024;3343LE;1;65.800;;;;;;;;;
2024;3355PM;1;598.700;;;;;;;;;
2024;3363WB;1;235.400;;;;;;;;;
2024;3364AK;1;894.400;;;;;;;;;
2024;3364BC;1;2.946.120;Stoeterij Black Horses Bv;Kweldamweg 8;Sliedrecht;54105889;0184 208 520;;;;
2024;3366BE;1;92.200;;;;;;;;;
2024;3372DV;1;1.046.600;;;;;;;;;
2024;3373LA;1;572.200;;;;;;;;;
2024;3381GC;2;426.000;Stal Vonk;Binnendamseweg 18;Giessenburg;30274641;;;;;
2024;3381JR;1;348.900;Hengstenhouderij Landzicht Bv;Neerpolderseweg 73;Giessenburg;11060036;;;;;
2024;3381JT;1;97.800;;;;;;;;;
2024;3381KS;1;229.600;;;;;;;;;
2024;3401NT;1;99.300;Achtersloot Stables;Achtersloot 65;IJsselstein;30118859;;;;;
2024;3401VA;1;549.900;Stal Van Vliet;Lage Dijk-Noord 28;IJsselstein;73587729;;;;;
2024;3402PH;1;157.000;;;;;;;;;
2024;3405CJ;1;238.400;;;;;;;;;
2024;3411NB;1;90.000;Paardenrusthuis Jakari Vof;Tiendweg 12;Lopik;53817540;;;;;
2024;3417BN;1;353.800;Stal Centaurus;Blindeweg 3;Montfoort;53386345;;;;;
2024;3417BR;1;452.060;;;;;;;;;
2024;3417MC;1;89.000;Swi Stylingbureau;Willeskop 77;Montfoort;30272422;;;;;
2024;3417ME;1;473.800;;;;;;;;;
2024;3417XG;1;440.400;;;;;;;;;
2024;3421VJ;1;167.000;;;;;;;;;
2024;3425EN;1;385.000;;;;;;;;;
2024;3425TG;1;694.761;;;;;;;;;
2024;3444BC;1;545.600;;;;;;;;;
2024;3449HJ;1;122.500;;;;;;;;;
2024;3451GA;1;231.200;;;;;;;;;
2024;3451HJ;1;814.120;;;;;;;;;
2024;3454HX;2;1.948.000;;;;;;;;;
2024;3455RM;1;141.500;;;;;;;;;
2024;3455RN;1;109.020;;;;;;;;;
2024;3467PC;1;116.000;;;;;;;;;
2024;3471GV;1;26.300;;;;;;;;;
2024;3471HJ;1;43.500;;;;;;;;;
2024;3481BC;1;74.000;;;;;;;;;
2024;3481CT;1;1.162.500;;;;;;;;;
2024;3481GW;1;358.000;A De Wit Paardenfokkerij;Dorpeldijk 6;Harmelen;58055819;;;;;
2024;3481LD;1;22.000;Merel Massop Dressage;Reijerscop 9 B;Harmelen;70697779;;;;;
2024;3481LE;2;107.500;Ponycentrum Van Eck;Reijerscop 18;Harmelen;30148682;;;;;
2024;3481LN;1;186.600;;;;;;;;;
2024;3481LR;1;132.300;Vof Nieuwpoort Bos;Breudijk 52;Harmelen;30284950;;;;;
2024;3566MH;1;180.400;;;;;;;;;
2024;3573PS;1;325.700;;;;;;;;;
2024;3573PT;1;438.400;;;;;;;;;
2024;3581BG;1;743.400;;;;;;;;;
2024;3584AB;1;52.000;;;;;;;;;
2024;3584CL;1;1.473.800;;;;;;;;;
2024;3601XR;1;384.500;;;;;;;;;
2024;3602AH;1;207.700;;;;;;;;;
2024;3615AA;1;118.000;Dierenarts Maarten Pieterse;Kooijdijk 21;Westbroek;57407835;;;;;
2024;3621LA;2;288.800;Benz Fokkerij;Oud Aa 39 a;Breukelen;60164735;;;;;
2024;3621LE;1;812.100;;;;;;;;;
2024;3632ER;1;432.000;;;;;;;;;
2024;3632GA;1;67.180;;;;;;;;;
2024;3633AK;1;278.700;;;;;;;;;
2024;3640;1;208.000;;;;;;;;;
2024;3641PH;1;17.200;;;;;;;;;
2024;3641PR;1;767.600;;;;;;;;;
2024;3641PX;1;195.000;;;;;;;;;
2024;3641RA;1;235.000;Mpm Straathof;Tienboerenweg 22;Mijdrecht;30175635;;;;;
2024;3641RK;1;90.600;;;;;;;;;
2024;3645CL;1;141.700;;;;;;;;;
2024;3646AL;1;170.900;Paardenhouderij Van Der Eijk Maatschap;Proostdijerdwarsweg 3;Waverveen;30269728;;;;;
2024;3646AS;1;109.700;;;;;;;;;
2024;3646AT;1;668.800;Panta Rhei;1e Velddwarsweg 3;Waverveen;63301245;06 53225656;;;;
2024;3646AV;1;471.920;;;;;;;;;
2024;3648NM;1;101.800;Van Zijl Vof;Bovendijk 36;Wilnis;54303028;;;;;
2024;3707HN;1;449.000;;;;;;;;;
2024;3707NZ;1;471.500;;;;;;;;;
2024;3709JN;1;365.400;Vof T Hoeveke;Bunsinglaan 17;Zeist;58876723;;;;;
2024;3722GX;1;379.900;;;;;;;;;
2024;3723BB;1;547.000;;;;;;;;;
2024;3723MC;1;879.600;;;;;;;;;
2024;3731GB;1;229.000;Stal Griftenstein;Utrechtseweg 371;De Bilt;30114240;;;;;
2024;3732HT;1;44.000;;;;;;;;;
2024;3732HV;1;72.000;;;;;;;;;
2024;3732HX;1;83.300;Agm Huurdeman;Universiteitsweg 10;De Bilt;59166363;;;;;
2024;3734BP;1;326.800;;;;;;;;;
2024;3737AD;1;31.600;T Spelt;Groenekanseweg 151;Groenekan;30271518;;;;;
2024;3737AJ;1;165.100;;;;;;;;;
2024;3737BL;1;817.000;Stal Van Brenk Bv;Voordorpsedijk 29;Groenekan;74470132;030 272 3755;;;;
2024;3737MD;1;712.200;;;;;;;;;
2024;3737MN;1;921.300;;;;;;;;;
2024;3737MR;1;472.800;;;;;;;;;
2024;3737RH;1;77.000;;;;;;;;;
2024;3738MA;1;277.500;;;;;;;;;
2024;3738XL;1;208.000;;;;;;;;;
2024;3743HJ;1;553.200;;;;;;;;;
2024;3744BW;1;325.000;;;;;;;;;
2024;3744ML;1;166.280;;;;;;;;;
2024;3751LC;1;36.650;Hoeve De Neerduist;Zevenhuizerstraat 287;Bunschoten-Spakenburg;77866843;;;;;
2024;3751LD;1;1.505.900;;;;;;;;;
2024;3751LE;1;28.140;;;;;;;;;
2024;3752LK;1;236.000;Pensionstal Weidezicht;Bisschopsweg 20;Bunschoten-Spakenburg;32091083;;;;;
2024;3754NC;1;48.000;Maatschap M Huijgen En M Huijgen Beekhuis;Eemdijk 3;Eemdijk;32154287;;;;;
2024;3755CP;1;615.400;;;;;;;;;
2024;3755DA;2;26.110.300;;;;;;;;;
2024;3755DC;1;140.860;;;;;;;;;
2024;3755DH;1;117.000;;;;;;;;;
2024;3755DL;1;83.000;;;;;;;;;
2024;3755MR;1;1.822.000;;;;;;;;;
2024;3755MT;1;182.850;Suus Kuyten Horses Bv;Heidelaan 4;Eemnes;16074526;;;;;
2024;3755MX;1;40.000;;;;;;;;;
2024;3755NM;3;2.540.100;Vof Stal Paardenvreugd;Geerenweg 10;Eemnes;32164734;06 20482281;;;;
2024;3755TA;1;48.000;;;;;;;;;
2024;3762LB;2;1.442.700;;;;;;;;;
2024;3766AD;1;864.000;;;;;;;;;
2024;3766HZ;1;102.000;;;;;;;;;
2024;3768HD;1;371.000;;;;;;;;;
2024;3768HL;1;360.000;Ga Pronk;Birkstraat 112;Soest;54102634;;;;;
2024;3768HP;1;529.000;;;;;;;;;
2024;3768ML;1;129.000;;;;;;;;;
2024;3768MP;1;329.000;;;;;;;;;
2024;3771RN;1;550.900;;;;;;;;;
2024;3771RR;1;42.740;Caitewick Bv;Donkervoorterweg 21;Barneveld;8154317;;;;;
2024;3771SH;1;451.000;;;;;;;;;
2024;3771SK;1;72.000;;;;;;;;;
2024;3774BV;1;38.200;Stal Lanterne;Kootwijkerbroekerweg 84;Kootwijkerbroek;75782065;;;;;
2024;3774JP;1;138.100;;;;;;;;;
2024;3774PK;1;128.300;;;;;;;;;
2024;3774TK;1;293.900;Wise Investment Bv;Meentweg 4;Kootwijkerbroek;32067907;;;;;
2024;3774TN;1;402.600;;;;;;;;;
2024;3775KM;1;8.000;;;;;;;;;
2024;3775KV;1;53.040;;;;;;;;;
2024;3776LR;1;327.500;Borgers Huisman;Wolweg 58;Stroe;65198085;;;;;
2024;3776MG;1;205.000;Ck Stables Bv;Stroeërweg 37;Stroe;8143474;;;;;
2024;3776PX;1;268.100;;;;;;;;;
2024;3776PZ;1;154.130;;;;;;;;;
2024;3781LT;1;143.180;;;;;;;;;
2024;3781NN;2;1.150.400;Stal Jacobs;Hunnenweg 40 A;Voorthuizen;8195043;06 16134328;;;;
2024;3781PC;1;745.500;;;;;;;;;
2024;3784VA;1;195.000;;;;;;;;;
2024;3784WN;1;235.100;;;;;;;;;
2024;3785KJ;1;158.700;;;;;;;;;
2024;3785KN;1;191.500;;;;;;;;;
2024;3791PL;1;185.000;;;;;;;;;
2024;3791VJ;1;257.900;;;;;;;;;
2024;3794MV;1;591.700;;;;;;;;;
2024;3816BW;1;410.700;;;;;;;;;
2024;3818LA;1;292.500;;;;;;;;;
2024;3826NE;1;101.900;;;;;;;;;
2024;3831JS;1;188.800;Maatschap Van Eijden;Hagenouwselaan 3;Leusden;32163291;;;;;
2024;3833AA;1;1.388.100;Pensionstal Klein Heiligenberg Vof;Ursulineweg 1;Leusden;53657462;06 51921782;;;;
2024;3833LD;1;524.000;;;;;;;;;
2024;3835PP;1;433.200;;;;;;;;;
2024;3836PA;1;350.500;Woobhouse Stables;Koedijkerweg 50;Stoutenburg Noord;32087776;;;;;
2024;3846AV;1;3.363.224;;;;;;;;;
2024;3849MR;1;272.900;Veldstar Stables;Berkenboomsweg 10;Hierden;32149588;;;;;
2024;3849NN;1;232.000;Gb Zuurveld;Lage Enkweg 25;Hierden;8144460;;;;;
2024;3852AM;1;437.950;;;;;;;;;
2024;3852PB;1;152.400;;;;;;;;;
2024;3852PL;2;654.980;;;;;;;;;
2024;3853LX;1;200.150;;;;;;;;;
2024;3853NV;1;162.900;;;;;;;;;
2024;3853PG;1;78.520;Jw Ruiter;Oude Telgterweg 263;Ermelo;64624781;;;;;
2024;3861MS;1;166.900;H Van Dasselaar 2;Keienweg 23 a;Nijkerk;68793979;;;;;
2024;3862MS;1;551.800;;;;;;;;;
2024;3862NE;1;147.000;;;;;;;;;
2024;3862NN;1;412.300;Stal Ludmillas Hoeve;Slichtenhorsterweg 27;Nijkerk;60726636;06 10908058;;;;
2024;3862NP;1;48.500;Ellieshoeve;Slichtenhorsterweg 63;Nijkerk;32161232;;;;;
2024;3862NR;1;309.970;;;;;;;;;
2024;3862PD;3;734.430;;;;;;;;;
2024;3862PX;1;401.700;Stal Bus;Drostenweg 4;Nijkerk;67055222;;;;;
2024;3862PZ;1;1.217.620;Stal Van Laar;Voorthuizerweg 2;Nijkerk;32079020;06 29044423;;;;
2024;3862RN;2;312.990;Ellens Horse Care;Bloemendaalseweg 15;Nijkerk;66246911;;;;;
2024;3862RV;1;125.980;;;;;;;;;
2024;3862RW;1;61.000;Stal De Driesprong;Nieuwe Voorthuizerweg 6;Nijkerk;8061728;;;;;
2024;3864DZ;1;194.000;;;;;;;;;
2024;3864MG;1;262.800;Handelsstal T Van Den Brink Bv;Schoolstraat 28;Nijkerkerveen;8058734;;;;;
2024;3881RE;1;73.900;;;;;;;;;
2024;3881ST;1;447.300;Bacon Bacon Stables Bv;Schoonhoverweg 1;Putten;8147308;0341 357 466;;;;
2024;3882LE;1;64.050;;;;;;;;;
2024;3882LH;1;75.200;;;;;;;;;
2024;3882RA;1;736.300;Stoeterij Oldenaller;Waterweg 9;Putten;8098467;0341 354 990;;;;
2024;3882RH;1;249.800;Is Sporthorses Bv;Vanenburgerallee 4 A;Putten;70321612;;;;;
2024;3882RK;1;343.080;;;;;;;;;
2024;3882RP;1;59.480;;;;;;;;;
2024;3886PN;1;149.600;;;;;;;;;
2024;3888MN;1;75.000;;;;;;;;;
2024;3888MR;1;240.260;De Wildtshof;Staverhul 40;Uddel;30243942;;;;;
2024;3896LA;1;554.300;;;;;;;;;
2024;3896LS;1;218.960;;;;;;;;;
2024;3896LT;1;948.800;;;;;;;;;
2024;3897LD;1;324.800;;;;;;;;;
2024;3897LT;1;1.346.700;;;;;;;;;
2024;3897LV;1;149.000;;;;;;;;;
2024;3898LA;1;501.200;Pj Te Molder;Ossenkampweg 12;Zeewolde;53922271;036 522 1483;;;;
2024;3903LD;1;60.000;H Henken;Middelbuurtseweg 58;Veenendaal;30271917;;;;;
2024;3911SB;1;423.700;;;;;;;;;
2024;3911SE;1;89.200;;;;;;;;;
2024;3911TL;1;769.300;;;;;;;;;
2024;3921DP;1;20.000;;;;;;;;;
2024;3925MG;1;33.350;;;;;;;;;
2024;3925MP;1;235.000;;;;;;;;;
2024;3925ND;1;72.900;;;;;;;;;
2024;3927CC;1;54.500;;;;;;;;;
2024;3927CR;1;68.900;T Blauwe Kieltje;Groeperweg 4 b;Renswoude;70594856;;;;;
2024;3927EH;1;492.600;;;;;;;;;
2024;3931MT;1;103.600;Hc Van Der Wardt;Parallelweg 134;Woudenberg;70236542;;;;;
2024;3931MZ;1;33.400;Beek Ranch;Voskuilerdijk 8;Woudenberg;76182509;;;;;
2024;3931ND;1;556.400;Forest Mountain Ranch;Klein Moorst 1;Woudenberg;32103293;06 23680431;;;;
2024;3931PD;1;90.600;Honselaar Horses Bv;Laagerfseweg 87;Woudenberg;31042402;;;;;
2024;3931PE;1;597.000;;;;;;;;;
2024;3931PX;1;1.840.900;;;;;;;;;
2024;3941DA;1;236.500;Manege Den Toom;Drift 3;Doorn;30014942;;;;;
2024;3941MD;1;60.000;;;;;;;;;
2024;3941PT;1;1.001.400;Firma Maat;Molenweg 9;Doorn;33207363;0343 522 002;;;;
2024;3941SP;1;233.000;;;;;;;;;
2024;3947BB;1;54.700;;;;;;;;;
2024;3951KE;1;711.900;;;;;;;;;
2024;3953ML;1;35.100;Epolma;Griftdijk 2;Maarsbergen;30234971;;;;;
2024;3956KJ;1;417.000;;;;;;;;;
2024;3956NJ;1;83.100;;;;;;;;;
2024;3958MD;1;8.000;G Brouwer 2;Ameronger Wetering 6;Amerongen;53632796;;;;;
2024;3959AR;1;92.000;Stal De Lange Vos;Haarweg 22;Overberg;30267377;;;;;
2024;3959AT;1;102.500;;;;;;;;;
2024;3959AW;1;267.300;Autorijschool Dianne;Schoolweg 37;Overberg;54686350;;;;;
2024;3959BE;1;60.000;;;;;;;;;
2024;3971KD;1;471.800;;;;;;;;;
2024;3972JJ;1;230.300;;;;;;;;;
2024;3972MA;1;453.200;;;;;;;;;
2024;3972MD;1;123.000;;;;;;;;;
2024;3981AN;1;195.100;;;;;;;;;
2024;3981HX;1;196.000;;;;;;;;;
2024;3985SL;1;103.500;;;;;;;;;
2024;3991LN;2;22.080;;;;;;;;;
2024;3992LN;1;30.000;Stal T Hemeltje;Waijensedijk 23;Houten;30195880;;;;;
2024;3992LR;2;792.000;;;;;;;;;
2024;3992LX;1;1.362.000;Manege En Hengstenhouderij Zilfia Bv;Fortweg 13;Houten;30053490;030 637 1325;;;;
2024;3998NH;1;352.000;;;;;;;;;
2024;3998WJ;1;145.300;Dah Stables;Neereind 17;Schalkwijk;70884978;;;;;
2024;3999NR;1;803.500;;;;;;;;;
2024;3999NT;1;225.000;Waalsehoeve;Waalseweg 40;Tull en 't Waal;30242178;;;;;
2024;4011KA;1;252.600;Vink Horses;Hogestraat 29 A;Zoelen;60310413;;;;;
2024;4011LG;1;431.000;;;;;;;;;
2024;4021HB;1;192.500;;;;;;;;;
2024;4021HD;1;319.000;Stal Petra Van Den Berg;Tielsestraat 66;Maurik;30239874;;;;;
2024;40229;1;992.000;;;;;;;;;
2024;4023CG;1;328.500;;;;;;;;;
2024;4032NV;3;250.300;Walco Vof;Harensestraat 11;Ommeren;57518025;;;;;
2024;4032NZ;1;67.400;;;;;;;;;
2024;4033AK;2;428.100;;;;;;;;;
2024;4033CT;1;155.000;Paardenfokkerijopfok De Beemd;Beemdsestraat 9;Lienden;72298804;;;;;
2024;4041VA;1;20.400;;;;;;;;;
